,ts,price,volume,vwap,ma1,cross1,cross2,lower,upper,profit,profit_max,drawdown,dd_ratio,n_minus,warmup
2026-02-25 09:03:39,1771977819.5317636,369.9,2092300.0,369.151302918208,369.4066666666667,0.0,0.0,367.95000000000005,370.75,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:41,1771977821.5324597,369.8,2099700.0,369.15522510008987,369.44666666666666,0.0,0.0,367.79999999999995,371.0,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:43,1771977823.5537274,369.8,2099700.0,369.15522510008987,369.47999999999996,0.0,0.0,368.05000000000007,370.85,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:45,1771977825.5482867,370.0,2101100.0,369.1561903207378,369.52000000000004,0.0,0.0,368.05000000000007,370.85,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:47,1771977827.5636923,369.9,2101800.0,369.1566150081566,369.55,0.0,0.0,367.9000000000001,371.0999999999999,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:49,1771977829.5789182,370.0,2103400.0,369.15771423916584,369.5866666666667,0.0,0.0,367.9000000000001,371.0999999999999,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:51,1771977831.5840595,370.1,2157300.0,369.19734685914943,369.6266666666667,0.0,0.0,367.75000000000006,371.34999999999997,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:53,1771977833.5870428,370.0,2167500.0,369.20368506619184,369.66,0.0,0.0,368.49999999999994,370.90000000000003,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:55,1771977835.5933735,370.0,2168600.0,369.2043626237624,369.69,0.0,0.0,368.75,370.75,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:57,1771977837.5797575,370.1,2169200.0,369.2047781042214,369.7266666666667,0.0,0.0,368.75,370.75,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:03:59,1771977839.5862162,370.5,2179100.0,369.21461674211616,369.77333333333337,0.0,0.0,369.00000000000006,370.59999999999997,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:01,1771977841.5798285,370.5,2180200.0,369.2157007053051,369.82,0.0,0.0,369.0999999999999,370.70000000000005,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:03,1771977843.5852902,370.8,2200100.0,369.23950766442647,369.88,0.0,0.0,369.0999999999999,370.70000000000005,0.0,0.0,0.0,0.0,0.0,1.0
2026-02-25 09:04:05,1771977845.590968,370.6,2200900.0,369.2403290317712,369.93,0.0,0.0,369.0999999999999,370.70000000000005,0.0,0.0,0.0,0.0,0.0,1.0
